country_code,country_name,total_videos,unique_videos,avg_views,median_views,avg_likes,avg_comments,avg_engagement,avg_days_to_trending,viral_count
BR,Brazil,16200,16200,1227387.24,176221.0,30183.7,1216.59,5.29,338.94,143
CA,Canada,16200,16200,2137314.04,296480.0,48822.35,1685.44,3.61,448.62,270
DE,Germany,16200,16200,1039972.59,176105.5,29571.64,885.85,3.78,374.09,126
FR,France,16200,16200,1322344.01,177152.0,32987.11,1034.74,3.78,394.22,164
GB,United Kingdom,16400,16400,1525167.14,204144.0,37686.07,1249.01,3.26,375.52,182
IN,India,16199,16199,1370102.13,180600.0,40210.94,1337.58,3.09,314.86,155
JP,Japan,16200,16200,1114589.52,258400.0,30007.89,994.27,3.62,458.38,110
KR,South Korea,16200,16200,1141267.74,215596.5,17433.18,783.52,2.3,438.32,142
MX,Mexico,16000,16000,2061613.08,480984.5,48019.26,1540.35,3.11,324.61,199
RU,Russia,16200,16200,1206855.26,353332.0,39239.63,1617.86,4.45,520.09,104
US,United States,16400,16400,1742672.99,227514.5,42664.5,1438.1,3.68,384.41,189
